epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.2636,1.39178,2.68339,1.80332,0.6258,0.3893,0.40965,0.18067,1.70582,1.37997,1.7198,0.000195357,0.000195357,0.000195357
2,98.1072,1.25071,1.67622,1.66596,0.61128,0.48971,0.44586,0.20845,1.61698,1.36471,1.72013,0.000388774,0.000388774,0.000388774
3,144.272,1.24325,1.59984,1.65889,0.71508,0.43128,0.48464,0.21801,1.66093,1.25507,1.73629,0.000579604,0.000579604,0.000579604
4,189.927,1.23104,1.52429,1.65038,0.59623,0.52261,0.51659,0.24938,1.4743,1.21415,1.61842,0.000576358,0.000576358,0.000576358
5,236.179,1.17816,1.42567,1.61715,0.39917,0.64003,0.51695,0.2454,1.52913,1.21218,1.66988,0.000572477,0.000572477,0.000572477
6,280.821,1.1492,1.36599,1.59015,0.49772,0.71498,0.60737,0.28351,1.48503,1.20609,1.67001,0.000568596,0.000568596,0.000568596
7,326.793,1.09088,1.31965,1.54188,0.61952,0.57192,0.60129,0.32171,1.43371,1.07897,1.50454,0.000564715,0.000564715,0.000564715
8,372.987,1.09103,1.27888,1.53404,0.51384,0.63524,0.55216,0.28832,1.49774,1.16705,1.5751,0.000560834,0.000560834,0.000560834
9,418.14,1.06754,1.24135,1.51698,0.66609,0.57002,0.59867,0.32488,1.45475,1.07391,1.52969,0.000556954,0.000556954,0.000556954
10,463.825,1.01056,1.16545,1.47092,0.60033,0.646,0.57285,0.32714,1.35617,0.97806,1.40675,0.000553073,0.000553073,0.000553073
11,510.382,1.02193,1.20075,1.46758,0.61969,0.64786,0.60592,0.3523,1.34964,0.97522,1.43176,0.000549192,0.000549192,0.000549192
12,555.71,0.99922,1.15584,1.46647,0.6503,0.66939,0.66723,0.39247,1.34561,0.94622,1.4091,0.000545311,0.000545311,0.000545311
13,601.507,0.97845,1.1367,1.43695,0.69005,0.60172,0.65115,0.37845,1.28224,0.93551,1.36874,0.00054143,0.00054143,0.00054143
14,646.775,0.93995,1.08653,1.41768,0.7279,0.61845,0.64385,0.38658,1.24219,0.87838,1.36573,0.00053755,0.00053755,0.00053755
15,693.335,0.96986,1.06465,1.42654,0.72404,0.623,0.64926,0.40194,1.23115,0.89308,1.32789,0.000533669,0.000533669,0.000533669
16,738.243,0.97225,1.05194,1.40388,0.57876,0.71304,0.67936,0.42326,1.25305,0.89168,1.29976,0.000529788,0.000529788,0.000529788
17,784.91,0.95866,1.03722,1.38792,0.59068,0.71382,0.67512,0.41531,1.24701,0.88921,1.31382,0.000525907,0.000525907,0.000525907
18,830.865,0.90886,1.00508,1.37297,0.54898,0.76211,0.64665,0.40127,1.18834,0.83571,1.25334,0.000522026,0.000522026,0.000522026
19,876.395,0.92031,0.99529,1.37433,0.55907,0.71075,0.67311,0.4206,1.18716,0.81931,1.25955,0.000518146,0.000518146,0.000518146
20,922.43,0.90788,0.98263,1.36305,0.64313,0.72827,0.68659,0.44408,1.2038,0.78542,1.28487,0.000514265,0.000514265,0.000514265
21,967.445,0.89611,0.96681,1.34565,0.6207,0.75386,0.68929,0.44124,1.16367,0.79271,1.23494,0.000510384,0.000510384,0.000510384
22,1013.61,0.89547,0.96645,1.34434,0.62309,0.73307,0.69245,0.4444,1.14821,0.75878,1.26006,0.000506503,0.000506503,0.000506503
23,1059.77,0.84503,0.948,1.32272,0.65679,0.76015,0.71423,0.465,1.14631,0.76794,1.25139,0.000502622,0.000502622,0.000502622
24,1105.62,0.86489,0.94806,1.3396,0.68136,0.68331,0.70062,0.4467,1.17696,0.79522,1.26436,0.000498742,0.000498742,0.000498742
25,1151.32,0.85262,0.92291,1.31941,0.65705,0.70742,0.69018,0.44574,1.13764,0.74443,1.21921,0.000494861,0.000494861,0.000494861
26,1197.93,0.86438,0.91948,1.32275,0.6598,0.73269,0.72467,0.46619,1.16081,0.75848,1.26554,0.00049098,0.00049098,0.00049098
27,1243.41,0.8435,0.8809,1.31372,0.68002,0.75684,0.73916,0.48756,1.1373,0.75709,1.17327,0.000487099,0.000487099,0.000487099
28,1289.14,0.85252,0.89,1.30269,0.72112,0.74894,0.73609,0.46329,1.1528,0.74344,1.20522,0.000483218,0.000483218,0.000483218
29,1334.59,0.84057,0.90136,1.30289,0.685,0.72241,0.71335,0.4734,1.14207,0.77918,1.21494,0.000479338,0.000479338,0.000479338
30,1380.09,0.81779,0.84745,1.28306,0.58707,0.79336,0.73247,0.47103,1.13408,0.74232,1.23014,0.000475457,0.000475457,0.000475457
31,1425.79,0.80833,0.86861,1.28138,0.84685,0.67165,0.75492,0.49577,1.13183,0.74183,1.24016,0.000471576,0.000471576,0.000471576
32,1471.88,0.8041,0.84411,1.27494,0.69673,0.74851,0.72678,0.49136,1.09479,0.75421,1.15471,0.000467695,0.000467695,0.000467695
33,1517.79,0.80318,0.85106,1.27428,0.7239,0.71399,0.7172,0.47035,1.09068,0.71926,1.21439,0.000463814,0.000463814,0.000463814
34,1563.64,0.79878,0.82528,1.27213,0.78184,0.7301,0.78005,0.51654,1.10768,0.70749,1.19337,0.000459934,0.000459934,0.000459934
