epoch,model,train_loss,train_acc,val_loss,val_acc
1,resnet50,1.5957983632402528,0.5370370370370371,0.8046893576780955,0.7291666666666667
2,resnet50,0.5213359865973345,0.8433977455716586,0.4330408920844396,0.8636363636363636
3,resnet50,0.18717659875486592,0.9484702093397746,0.32194290174679324,0.8901515151515151
4,resnet50,0.07716557941431008,0.9830917874396136,0.29956465482598904,0.8958333333333334
5,resnet50,0.03819536567694131,0.9943639291465378,0.3330627183119456,0.8806818181818182
6,resnet50,0.02030406029963935,0.9967793880837359,0.3363513156884547,0.9015151515151515
7,resnet50,0.011807723732698176,0.998389694041868,0.3470980931976528,0.9053030303030303
8,resnet50,0.006641453342743206,0.998792270531401,0.345781013708223,0.8958333333333334
9,resnet50,0.009610356756256542,0.9979871175523349,0.3558415779561708,0.8901515151515151
10,resnet50,0.00909842162028603,0.9979871175523349,0.3870560931267612,0.8958333333333334
11,resnet50,0.012638815512187814,0.9955716586151369,0.44535420360890304,0.8674242424242424
12,resnet50,0.01942515784751582,0.9931561996779388,0.40841084492929053,0.8825757575757576
13,resnet50,0.016736660860538866,0.9947665056360708,0.3483522614520608,0.8901515151515151
14,resnet50,0.02179366957858181,0.9947665056360708,0.39709021783236303,0.8901515151515151
15,resnet50,0.01551840777978325,0.9963768115942029,0.35926941003311763,0.9015151515151515
16,resnet50,0.012442218912120507,0.9971819645732689,0.30764988380851166,0.9053030303030303
17,resnet50,0.01939407113981516,0.9951690821256038,0.296350957811669,0.9204545454545455
18,resnet50,0.012841144303720738,0.9971819645732689,0.30036636712876236,0.9185606060606061
19,resnet50,0.007017984571071842,0.9975845410628019,0.26160108111798763,0.9393939393939394
20,resnet50,0.005467015566025379,0.998389694041868,0.2764992525405956,0.9280303030303031
21,resnet50,0.0045360079887750504,0.9979871175523349,0.28583316234025086,0.9280303030303031
22,resnet50,0.003423085107787508,0.998792270531401,0.29179095431710733,0.9299242424242424
23,resnet50,0.00706174612235002,0.9979871175523349,0.286304208534685,0.9261363636363636
24,resnet50,0.004692574276479378,0.9979871175523349,0.36006485043573333,0.9034090909090909
25,resnet50,0.013227749281096454,0.9963768115942029,0.5254945096305825,0.8806818181818182
26,resnet50,0.013009554813368525,0.9951690821256038,0.37929092979792395,0.9053030303030303
27,resnet50,0.01257794934824325,0.9955716586151369,0.337605323713047,0.9090909090909092
28,resnet50,0.019647240314794624,0.9947665056360708,0.3525237411288827,0.9053030303030303
29,resnet50,0.012284251229894527,0.9967793880837359,0.34499625026276615,0.912878787878788
30,resnet50,0.03429625770781975,0.9903381642512077,0.3782066844428438,0.9109848484848485
31,resnet50,0.018060506135525237,0.9955716586151369,0.35617416530184337,0.9109848484848485
32,resnet50,0.022178141910870725,0.9915458937198067,0.3213367825656226,0.9015151515151515
33,resnet50,0.009724592791882234,0.9959742351046699,0.3456923012254816,0.9147727272727273
34,resnet50,0.00794903246626624,0.9971819645732689,0.48876237265314115,0.8674242424242424
35,resnet50,0.008486433998845074,0.9971819645732689,0.2667933916179181,0.9393939393939394
36,resnet50,0.0027769163683778195,0.999194847020934,0.28771801673891867,0.9299242424242424
37,resnet50,0.002514720899457841,0.998792270531401,0.27557796992671985,0.9318181818181819
38,resnet50,0.0032016078445868458,0.998389694041868,0.3274277025784338,0.9280303030303031
39,resnet50,0.002659863604520614,0.998792270531401,0.28459974762165186,0.9393939393939394
40,resnet50,0.00222764640907613,0.998792270531401,0.28460926054553554,0.9375
41,resnet50,0.001988343643748176,0.998792270531401,0.3102972980475787,0.9412878787878788
42,resnet50,0.0017266690487063815,0.999194847020934,0.3049109494736926,0.9412878787878788
43,resnet50,0.001680384446857812,0.998792270531401,0.3060828236806573,0.9375
44,resnet50,0.0015389510947468972,0.999194847020934,0.30562462910276017,0.9356060606060607
45,resnet50,0.0015064609676993927,0.998389694041868,0.315368675323429,0.9337121212121212
46,resnet50,0.001553400201537765,0.998792270531401,0.2964950830562774,0.9393939393939394
47,resnet50,0.001512107408665317,0.998389694041868,0.30286908969565324,0.9393939393939394
48,resnet50,0.001601772681696921,0.998792270531401,0.31050238361807936,0.9393939393939394
49,resnet50,0.0015490224177014808,0.998792270531401,0.29864597038690455,0.9450757575757576
50,resnet50,0.0014863983239787712,0.998792270531401,0.30047292401661363,0.9393939393939394
51,resnet50,0.001490127428823965,0.998792270531401,0.3044843117664145,0.9375
52,resnet50,0.0014458372385453677,0.998389694041868,0.31246436900233454,0.9375
53,resnet50,0.0013846916864283425,0.999194847020934,0.30314169058604445,0.9393939393939394
54,resnet50,0.0014940220879498816,0.999194847020934,0.3071280777503764,0.9431818181818182
55,resnet50,0.0014689131319333894,0.998792270531401,0.29884969262462674,0.9393939393939394
56,resnet50,0.0018877374568956734,0.998792270531401,0.30625617559505347,0.9375
57,resnet50,0.001462178844618296,0.998792270531401,0.29958197362650413,0.9356060606060607
58,resnet50,0.0015037442638732616,0.998389694041868,0.300335220673305,0.9356060606060607
59,resnet50,0.0013589298781845494,0.998792270531401,0.2969991781671221,0.9393939393939394
60,resnet50,0.0013246905378506732,0.999194847020934,0.30031204260850436,0.9393939393939394
61,resnet50,0.001440287923271432,0.999194847020934,0.30213077825487056,0.9375
62,resnet50,0.0014951877584103526,0.999194847020934,0.30884973146021366,0.9393939393939394
63,resnet50,0.0012691995329482274,0.999194847020934,0.3128455405504527,0.9337121212121212
64,resnet50,0.0015020486576516022,0.998792270531401,0.304004201633771,0.9375
